,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,airai,24,TL,1546826912,90,-8.93,125.41,25.36,0.61
1,high level,92,CA,1546826894,52,58.52,-117.13,-15.85,3.56
2,anadyr,20,RU,1546822800,65,64.73,177.51,-13,19
3,bubaque,48,GW,1546826913,100,11.28,-15.83,25.53,1.36
4,san patricio,44,PY,1546826913,78,-26.98,-56.83,27.78,3.76
5,mataura,88,NZ,1546826914,66,-46.19,168.86,17.88,9.06
6,alta floresta,88,BR,1546826914,98,-9.87,-56.08,24.01,0.96
7,albany,20,US,1546826040,39,42.65,-73.75,-3.3,6.7
8,saint-philippe,75,CA,1546824900,62,45.36,-73.48,-9,3.6
9,zyryanovsk,0,KZ,1546826915,55,49.74,84.27,-24.72,0.91
10,hilo,90,US,1546822380,57,19.71,-155.08,25.6,3.1
11,butaritari,24,KI,1546826916,100,3.07,172.79,28.43,7.46
12,tasiilaq,0,GL,1546822200,52,65.61,-37.64,-9,2.1
13,taolanaro,,,,,,,,
14,lavrentiya,0,RU,1546826917,82,65.58,-170.99,-15.72,8.56
15,barrow,48,AR,1546826917,75,-38.31,-60.23,17.91,4.46
16,punta arenas,40,CL,1546822800,100,-53.16,-70.91,7,4.1
17,hermanus,0,ZA,1546826918,95,-34.42,19.24,10.63,1.41
18,nadym,64,RU,1546826918,74,65.53,72.51,-17.72,4.86
19,ancud,90,CL,1546822800,76,-41.87,-73.83,11,2.1
20,ushuaia,75,AR,1546822800,69,-54.81,-68.31,4,10.3
21,roald,24,NO,1546825800,65,62.58,6.12,5,4.1
22,georgetown,75,GY,1546822800,83,6.8,-58.16,27,6.2
23,avarua,75,CK,1546826400,69,-21.21,-159.78,27,5.7
24,souillac,90,FR,1546824600,80,45.6,-0.6,4,1.5
25,carnarvon,44,ZA,1546826920,33,-30.97,22.13,16.48,4.66
26,waipawa,0,NZ,1546826921,52,-39.94,176.59,25.43,7.81
27,puerto madryn,48,AR,1546826921,61,-42.77,-65.04,20.36,6.21
28,rikitea,100,PF,1546826921,100,-23.12,-134.97,25.83,5.06
29,nguiu,,,,,,,,
30,port elizabeth,1,US,1546826160,50,39.31,-74.98,6.1,3.1
31,busselton,0,AU,1546826922,75,-33.64,115.35,24.68,7.16
32,lagoa,0,PT,1546824600,65,37.14,-8.45,8,3.1
33,jamestown,80,AU,1546826924,35,-33.21,138.6,25.78,2.51
34,abu kamal,0,SY,1546826924,63,34.45,40.92,8.01,6.36
35,ustrzyki dolne,76,UA,1546826924,91,49.43,22.59,-7.92,3.66
36,haibowan,,,,,,,,
37,lebu,20,ET,1546822800,39,8.96,38.73,9,1
38,bluff,48,AU,1546826925,38,-23.58,149.07,33.01,5.61
39,illoqqortoormiut,,,,,,,,
40,thompson,75,CA,1546822800,84,55.74,-97.86,-15,2.1
41,meylan,90,FR,1546824600,86,45.21,5.78,4,5.7
42,sentyabrskiy,,,,,,,,
43,puerto narino,20,CO,1546822800,100,-3.77,-70.38,24,1.96
44,lorengau,48,PG,1546826927,100,-2.02,147.27,28.23,5.96
45,tuktoyaktuk,90,CA,1546822800,77,69.44,-133.03,-19,3.1
46,kruisfontein,12,ZA,1546826927,87,-34,24.73,15.93,4.11
47,kabanjahe,75,ID,1546822800,94,3.1,98.49,25,0.76
48,bolungarvik,,,,,,,,
49,kodiak,1,US,1546826100,69,39.95,-94.76,13.3,8.7
50,mao,40,DO,1546826400,94,19.55,-71.08,24,3.1
51,yellowknife,20,CA,1546822800,76,62.45,-114.38,-22,5.7
52,omsukchan,68,RU,1546826929,34,62.53,155.8,-31.65,1.06
53,san policarpo,48,PH,1546826929,88,12.18,125.51,27.16,6.81
54,nikolskoye,90,RU,1546824600,79,59.7,30.79,-4,4
55,kyshtovka,80,RU,1546826933,82,56.56,76.62,-13.32,5.46
56,constitucion,90,MX,1546825860,29,23.99,-104.67,16,3.1
57,kankan,48,GN,1546826934,46,10.38,-9.3,17.76,2.41
58,new norfolk,20,AU,1546824600,40,-42.78,147.06,21,5.1
59,arman,20,RU,1546826935,58,59.7,150.17,-17.12,6.36
60,cockburn town,0,TC,1546826890,99,21.46,-71.14,26.16,7.01
61,palabuhanratu,,,,,,,,
62,cidreira,36,BR,1546826936,85,-30.17,-50.22,24.38,6.61
63,olafsvik,,,,,,,,
64,amderma,,,,,,,,
65,magalia,90,US,1546825980,86,39.81,-121.58,8.3,4.1
66,gujrat,0,PK,1546826400,100,32.57,74.07,5,1.96
67,nyrob,56,RU,1546826940,75,60.74,56.73,-13.65,3.56
68,bilibino,36,RU,1546826940,0,68.06,166.44,-35.1,1.91
69,wangaratta,0,AU,1546822800,34,-36.36,146.32,29,1.5
70,acajutla,0,SV,1546822200,50,13.59,-89.83,25,2.1
71,mama,5,MX,1546825500,68,20.48,-89.36,22,3.1
72,yumen,48,CN,1546826942,79,40.29,97.04,-12.07,1.16
73,bredasdorp,0,ZA,1546822800,82,-34.53,20.04,16,2.1
74,karpogory,92,RU,1546826943,83,64,44.44,-7.42,3.91
75,narsaq,88,GL,1546826943,83,60.91,-46.05,-8.12,1.11
76,candelaria,92,CO,1546826944,95,3.41,-76.35,14.53,0.76
77,hithadhoo,76,MV,1546826944,100,-0.6,73.08,25.76,1.66
78,ushtobe,0,KZ,1546826945,42,45.25,77.98,-21.32,1.26
79,sao joao da barra,8,BR,1546826903,98,-21.64,-41.05,26.18,12.76
80,ostrovnoy,92,RU,1546826946,95,68.05,39.51,0.78,8.46
81,castro,90,CL,1546822800,76,-42.48,-73.76,11,2.1
82,coquimbo,0,CL,1546822800,72,-29.95,-71.34,17,2.1
83,puerto ayora,44,EC,1546826738,99,-0.74,-90.35,24.91,5.91
84,paradwip,,,,,,,,
85,atuona,24,PF,1546826947,100,-9.8,-139.03,27.38,6.96
86,bjornevatn,0,NO,1546825800,84,69.67,29.98,0,12.3
87,klaksvik,88,FO,1546825800,80,62.23,-6.59,5,10.3
88,cherskiy,20,RU,1546826948,0,68.75,161.3,-38.22,0.76
89,araouane,36,ML,1546826949,36,18.9,-3.53,12.76,4.91
90,chuy,92,UY,1546826949,75,-33.69,-53.46,26.43,8.26
91,leningradskiy,8,RU,1546826950,84,69.38,178.42,-25.17,5.86
92,ntcheu,92,MW,1546826950,100,-14.82,34.64,18.88,0.51
93,kieta,36,PG,1546826951,99,-6.22,155.63,28.83,1.86
94,boa vista,0,BR,1546822800,61,2.82,-60.67,28,3.6
95,kozhva,80,RU,1546826952,72,65.11,57.05,-17.5,3.51
96,menongue,24,AO,1546826952,96,-14.66,17.68,17.51,2.36
97,husavik,92,CA,1546826952,91,50.56,-96.99,-4.02,9.71
98,egvekinot,0,RU,1546826953,0,66.32,-179.17,-39.35,1.16
99,vila velha,0,BR,1546822800,74,-3.71,-38.6,28,3.6
100,vaini,0,IN,1546822800,71,15.34,74.49,18,2.36
101,faanui,88,PF,1546826954,100,-16.48,-151.75,28.76,4.66
102,seoul,1,KR,1546826400,53,37.57,126.98,-2,1.5
103,galgani,,,,,,,,
104,toftir,,,,,,,,
105,bandarbeyla,0,SO,1546826955,100,9.49,50.81,24.68,7.16
106,laramie,1,US,1546825980,69,41.31,-105.59,2.4,1.5
107,cabo san lucas,90,MX,1546826220,94,22.89,-109.91,22,2.6
108,bilma,0,NE,1546826956,35,18.69,12.92,6.53,4.71
109,mar del plata,88,AR,1546826956,46,-46.43,-67.52,15.41,8.96
110,kavieng,80,PG,1546826957,96,-2.57,150.8,29.83,6.26
111,belushya guba,,,,,,,,
112,zhezkazgan,40,KZ,1546824600,84,47.8,67.71,-17,4
113,whitehorse,20,CA,1546822800,75,60.72,-135.06,-26,3.6
114,mantua,0,IT,1546825800,92,45.16,10.79,1,0.5
115,karangasem,64,ID,1546826961,100,-6.7,108.49,29.28,0.91
116,east london,0,ZA,1546826961,100,-33.02,27.91,20.41,4.21
117,bethel,90,US,1546825980,91,60.79,-161.76,-12,5.1
118,severo-kurilsk,48,RU,1546826962,100,50.68,156.12,-3.47,12.01
119,san juan del sur,8,NI,1546826963,83,11.25,-85.87,25.61,8.76
120,bud,48,NO,1546825800,86,62.91,6.91,5,4.6
121,cacule,0,BR,1546826963,93,-14.5,-42.22,20.38,2.86
122,vaitupu,,,,,,,,
123,kimbe,88,PG,1546826964,100,-5.56,150.15,26.43,5.36
124,dikson,44,RU,1546826964,99,73.51,80.55,-21.1,10.86
125,usoke,92,TZ,1546826965,100,-5.09,32.32,16.41,2.11
126,louisbourg,,,,,,,,
127,quatre cocos,75,MU,1546822800,88,-20.21,57.76,27,6.7
128,manicore,64,BR,1546826966,95,-5.81,-61.3,25.16,1.46
129,komsomolskiy,20,RU,1546826966,66,67.55,63.78,-16.6,2.76
130,bereda,0,ES,1546824600,81,43.27,-7.54,0,1.5
131,kelvington,76,CA,1546826967,95,52.16,-103.52,-0.62,6.41
132,tuatapere,0,NZ,1546826967,85,-46.13,167.69,15.58,9.06
133,semnan,0,IR,1546822800,80,35.58,53.39,2,2.31
134,mys shmidta,,,,,,,,
135,magocs,0,HU,1546826968,78,46.35,18.23,-6.47,3.11
136,jinchengjiang,,,,,,,,
137,rio grande,88,BR,1546826824,84,-32.03,-52.1,25.53,7.46
138,sibolga,88,ID,1546826969,100,1.74,98.78,23.11,0.36
139,faya,0,SA,1546822800,20,18.39,42.45,13,3.1
140,sobolevo,20,RU,1546826970,58,54.43,31.9,-14.75,1.41
141,gawler,0,AU,1546824600,49,-34.6,138.75,23,5.1
142,dingle,0,PH,1546826971,63,11,122.67,27.73,7.21
143,maracacume,76,BR,1546826971,95,-2.04,-45.96,23.66,2.11
144,saint-joseph,0,FR,1546824600,92,43.56,6.97,-2,0.81
145,copiapo,0,CL,1546822800,68,-27.37,-70.33,18,3.6
146,leuwiliang,20,ID,1546824600,66,-6.57,106.63,30,1.5
147,qunduz,,,,,,,,
148,ponta do sol,8,BR,1546826973,92,-20.63,-46,16.58,1.16
149,soe,90,EE,1546825800,85,57.91,26.05,-5,6.7
150,cape town,0,ZA,1546822800,82,-33.93,18.42,18,4.6
151,vestmannaeyjar,88,IS,1546826974,100,63.44,-20.27,4.18,2.41
152,san nicolas,92,HN,1546826974,89,14.94,-88.33,19.73,1.06
153,broome,88,GB,1546826160,93,52.47,1.45,7.4,2.6
154,pandan,32,PH,1546826975,100,11.72,122.09,26.66,10.46
155,port alfred,8,ZA,1546826975,100,-33.59,26.89,18.16,4.01
156,satitoa,,,,,,,,
157,altay,0,CN,1546826976,65,47.83,88.13,-24.82,1.06
158,bartica,20,GY,1546822800,94,6.41,-58.62,25,3.1
159,araruama,44,BR,1546826977,66,-22.87,-42.34,25.33,2.36
160,mahebourg,75,MU,1546822800,88,-20.41,57.7,27,6.7
161,utiroa,,,,,,,,
162,hasaki,20,JP,1546824600,39,35.73,140.83,7,5.1
163,otjiwarongo,8,NA,1546826978,89,-20.46,16.65,15.63,2.11
164,rodeo,56,MX,1546826978,55,25.18,-104.56,13.78,2.21
165,khatanga,12,RU,1546826979,0,71.98,102.47,-38.6,1.61
166,krasnoarmeysk,90,RU,1546824600,92,56.12,38.15,-10,3
167,saskylakh,20,RU,1546826979,0,71.97,114.09,-38.9,2.11
168,praia da vitoria,75,PT,1546822800,93,38.73,-27.07,17,11.76
169,margate,20,AU,1546824600,40,-43.03,147.26,21,5.1
170,hobart,20,AU,1546824600,40,-42.88,147.33,21,5.1
171,grand river south east,,,,,,,,
172,luena,92,AO,1546826981,99,-11.78,19.91,17.41,2.06
173,ode,0,NG,1546826981,64,7.79,5.71,17.66,1.31
174,mirnyy,44,RU,1546826981,78,56.57,36.46,-12.82,3.41
175,toliary,,,,,,,,
176,geraldton,90,CA,1546825320,77,49.72,-86.95,-16,2.1
177,ribeira grande,88,PT,1546826982,97,38.52,-28.7,17.66,9.51
178,wajid,80,SO,1546826983,59,3.81,43.25,23.18,4.26
179,grand baie,75,MU,1546822800,88,-20.02,57.58,27,6.7
180,kupang,40,ID,1546824600,66,-10.16,123.6,31,3.6
181,pisco,20,PE,1546822800,88,-13.71,-76.2,22,5.1
182,saldanha,0,PT,1546826984,69,41.42,-6.55,-7.87,1.21
183,kapaa,20,US,1546822560,57,22.08,-159.32,26.7,3.6
184,laguna,90,MX,1546825680,93,27.52,-110.01,15,1.5
185,cuenca,0,ES,1546826985,55,40.07,-2.13,-6.4,1.31
186,lazaro cardenas,75,MX,1546825200,45,28.39,-105.62,20,5.7
187,ekimchan,8,RU,1546826986,73,53.07,132.94,-28.17,1.06
188,manokwari,20,ID,1546826986,99,-0.87,134.08,28.26,4.76
189,victoria,75,BN,1546824600,79,5.28,115.24,30,2.1
190,los llanos de aridane,0,ES,1546824600,63,28.66,-17.92,17,3.6
191,novouzensk,8,RU,1546826987,75,50.46,48.14,-11.02,4.56
192,tignere,0,CM,1546826988,48,7.37,12.65,12.83,2.61
193,upernavik,8,GL,1546826988,100,72.79,-56.15,-15.07,5.21
194,iqaluit,90,CA,1546822800,57,63.75,-68.52,-24,3.6
195,marsassoum,48,SN,1546826988,63,12.83,-15.98,20.51,1.06
196,tiksi,56,RU,1546826989,35,71.64,128.87,-30.87,1.16
197,nouadhibou,36,MR,1546822800,39,20.93,-17.03,18,6.2
198,tha bo,75,TH,1546824600,88,17.85,102.58,24,1
199,emba,75,CY,1546824600,62,34.81,32.42,13,9.3
200,posse,68,BR,1546826991,95,-14.08,-46.36,18.13,3.36
201,provideniya,0,RU,1546826991,100,64.42,-173.23,-14.6,12.01
202,cayenne,92,GF,1546824600,88,4.94,-52.33,26,4.6
203,dawei,32,MM,1546826992,60,14.07,98.19,28.78,2.01
204,dzhusaly,,,,,,,,
205,grahamstown,8,ZA,1546826993,79,-33.31,26.53,12.68,1.96
206,gigmoto,88,PH,1546826993,100,13.78,124.39,25.53,6.31
207,codrington,75,AU,1546822800,61,-28.95,153.24,29,5.7
208,san juan,80,AR,1546826996,77,-31.54,-68.53,18.98,1.96
209,nara,20,JP,1546822800,75,34.68,135.8,8,0.5
210,evensk,44,RU,1546826997,89,61.92,159.24,-5.37,11.66
211,barentsburg,,,,,,,,
212,el balyana,,,,,,,,
213,lensk,44,RU,1546826997,55,60.71,114.91,-18.35,5.36
214,bukene,92,TZ,1546826998,99,-4.23,32.89,17.08,2.56
215,lompoc,90,US,1546824660,76,34.64,-120.46,14.4,5.1
216,ciudad ojeda,0,VE,1546826998,83,10.22,-71.33,27.86,6.01
217,te anau,36,NZ,1546826999,68,-45.41,167.72,15.68,5.36
218,hofn,92,IS,1546827000,100,64.25,-15.21,3.88,6.31
219,laurel,75,US,1546822380,64,45.67,-108.77,2.8,5.7
220,krasnoselkup,,,,,,,,
221,norman wells,20,CA,1546822800,74,65.28,-126.83,-30,1
222,kaihua,92,CN,1546827001,100,29.14,118.41,5.91,1.41
223,guano,64,EC,1546827001,93,-1.61,-78.64,8.58,0.41
224,exaplatanos,0,GR,1546827002,78,40.98,22.13,-13.22,2.26
225,eydhafushi,8,MV,1546827002,100,5.1,73.07,27.18,4.76
226,chapais,1,CA,1546822800,76,49.78,-74.86,-21,4.1
227,dengfeng,76,CN,1546827003,58,34.46,113.03,0.61,1.86
228,tongzi,56,CN,1546827004,91,28.78,105.09,8.01,1.91
229,sitka,88,US,1546827004,44,37.17,-99.65,17.48,10.56
230,porto novo,0,BR,1546822800,88,-23.68,-45.44,23,3.1
231,grindavik,90,IS,1546824600,100,63.84,-22.43,3,1.5
232,karkaralinsk,,,,,,,,
233,mackay,90,CA,1546822800,92,53.65,-115.58,-8,6.2
234,matara,48,PE,1546827009,97,-13.74,-72.9,5.76,0.81
235,hearst,0,CA,1546827009,66,49.69,-83.67,-18.02,2.51
236,dzerzhinsk,90,RU,1546824600,91,56.24,43.46,-16,3
237,nizhneyansk,,,,,,,,
238,rawannawi,,,,,,,,
239,chicama,75,PE,1546822800,88,-7.84,-79.15,23,3.6
240,bad munstereifel,75,DE,1546826160,93,50.55,6.77,4,2.1
241,mahaicony,,,,,,,,
242,qingdao,48,CN,1546822800,74,36.09,120.35,-1,2
243,sao miguel do oeste,,,,,,,,
244,qinzhou,92,CN,1546827012,100,21.96,108.62,13.73,2.11
245,vardo,1,US,1546826100,56,39.62,-77.74,6,3.6
246,hobyo,100,SO,1546827013,87,5.35,48.53,24.18,8.06
247,qaanaaq,0,GL,1546827013,91,77.48,-69.36,-26.62,3.06
248,grand bend,90,CA,1546822800,68,43.31,-81.76,-1,4.6
249,itoman,40,JP,1546824600,49,26.12,127.67,20,4.1
250,bow island,75,CA,1546822800,38,49.87,-111.38,4,12.9
251,kaduna,0,NG,1546827015,32,10.52,7.44,16.51,6.46
252,labuan,75,BN,1546824600,79,5.28,115.24,30,2.1
253,paita,76,PE,1546827015,79,-5.09,-81.11,23.51,2.66
254,trincomalee,80,LK,1546827016,89,8.58,81.23,24.41,1.61
255,vitina,64,GR,1546827016,64,41.43,24.76,-12.65,1.01
256,zwedru,80,LR,1546827016,72,6.07,-8.13,25.16,1.21
257,fare,100,PF,1546827017,100,-16.7,-151.02,28.16,5.06
258,haines junction,0,CA,1546827017,0,60.75,-137.51,-36.97,0.86
259,burnie,0,AU,1546827017,97,-41.05,145.91,18.33,6.16
260,rungata,,,,,,,,
261,auki,20,NG,1546827018,35,12.18,6.51,15.43,5.61
262,miri,0,NG,1546827018,43,10.31,9.75,12.23,2.81
263,martigny,5,CH,1546822500,39,46.1,7.07,-11,0.46
264,salinopolis,88,BR,1546827019,100,-0.61,-47.36,26.66,4.81
265,fenoarivo atsinanana,88,MG,1546827019,99,-17.38,49.41,23.58,1.11
266,imphal,0,IN,1546827020,76,24.8,93.94,15.41,1.06
267,gat,0,SN,1546824600,53,14.69,-16.54,22,4.6
268,hualmay,24,PE,1546827020,99,-11.1,-77.61,17.36,1.41
269,ramanuj ganj,32,IN,1546827021,96,23.81,83.7,13.61,2.81
270,paka,40,HR,1546824600,73,45.29,18.06,-3,3.1
271,bage,24,NG,1546827021,33,10.95,11.38,17.61,4.91
272,grand gaube,75,MU,1546822800,88,-20.01,57.66,27,6.7
273,leshukonskoye,92,RU,1546827022,86,64.9,45.76,-7.92,4.01
274,rajapolah,68,ID,1546827022,85,-7.24,108.18,24.53,1.26
275,pimenta bueno,12,BR,1546827023,85,-11.68,-61.19,25.38,1.51
276,marcona,,,,,,,,
277,ambodifototra,,,,,,,,
278,noumea,0,NC,1546826400,43,-22.28,166.46,32,9.8
279,kita,20,JP,1546824600,31,35.76,139.74,9,8.7
280,turukhansk,68,RU,1546827027,79,65.8,87.96,-14.27,8.26
281,kediri,24,ID,1546827027,77,-7.81,112,29.13,0.56
282,richard toll,,,,,,,,
283,izvestkovyy,0,RU,1546827031,48,48.98,131.55,-19.52,1.21
284,dudinka,64,RU,1546827031,70,69.41,86.18,-17.17,9.71
285,salamiyah,92,SY,1546827032,96,35.01,37.05,4.73,4.36
286,zhigansk,48,RU,1546827032,27,66.77,123.37,-28.1,3.11
287,walvis bay,68,NA,1546822800,77,-22.95,14.51,17,1.5
288,harper,1,US,1546826100,82,30.3,-99.24,18.3,4.1
289,port hardy,90,CA,1546822800,93,50.7,-127.42,2,2.6
290,pudem,56,RU,1546827033,81,58.3,52.17,-14.57,3.66
291,forest,1,US,1546824900,87,32.36,-89.47,10,1.76
292,levokumskoye,92,RU,1546827034,84,44.82,44.66,-2.85,5.36
293,kaitangata,44,NZ,1546827034,60,-46.28,169.85,19.93,8.61
294,banjar,24,ID,1546827035,81,-7.37,108.54,27.91,1.66
295,sofiysk,,,,,,,,
296,deming,75,US,1546825980,73,32.27,-107.76,7.2,6.2
297,mount gambier,20,AU,1546822800,53,-37.83,140.78,22,3.1
298,luderitz,8,NA,1546827036,92,-26.65,15.16,14.38,4.81
299,suibara,75,JP,1546822800,48,37.83,139.23,5,7.2
300,olinda,90,EC,1546822800,88,-2.03,-79.75,25,4.6
301,vila franca do campo,20,PT,1546824600,88,37.72,-25.43,17,8.2
302,kazerun,100,IR,1546827037,84,29.62,51.65,11.73,1.06
303,attawapiskat,,,,,,,,
304,mangrol,44,IN,1546827038,92,25.33,76.51,8.36,1.51
305,nola,0,CF,1546827038,94,3.52,16.05,21.41,1.31
306,beloha,20,MG,1546827038,86,-25.17,45.06,22.61,1.96
307,buraydah,20,SA,1546822800,93,26.33,43.97,17,5.7
308,stromness,20,CA,1546826040,65,42.87,-79.55,-2,5.7
309,tabou,76,CI,1546827039,100,4.42,-7.36,27.98,4.06
310,encheng,92,CN,1546827040,98,22.74,107.09,12.98,1.76
311,zhangjiakou,0,CN,1546827040,43,40.77,114.88,-12.35,1.91
312,catamarca,,,,,,,,
313,chokurdakh,8,RU,1546827041,0,70.62,147.9,-40.37,1.31
314,trelew,0,AR,1546827041,22,-43.25,-65.31,20.36,4.66
315,iskateley,76,RU,1546827041,84,67.68,53.15,-12.77,5.76
316,half moon bay,90,US,1546826160,92,37.46,-122.43,13,4.6
317,ust-ishim,80,RU,1546827042,77,57.69,71.17,-11.57,4.41
318,aykhal,32,RU,1546827042,64,65.95,111.51,-26.35,2.11
319,nome,1,US,1546826100,89,30.04,-94.42,15.8,4.1
320,sao gabriel da cachoeira,8,BR,1546827043,93,-0.13,-67.09,23.88,1.06
321,benguela,80,AO,1546827043,100,-12.58,13.4,24.53,0.86
322,sayyan,0,YE,1546827043,61,15.17,44.32,-1.75,1.21
323,vieste,20,IT,1546827044,100,41.88,16.18,8.23,13.31
324,mayor pablo lagerenza,80,PY,1546827044,50,-19.93,-60.77,32.23,9.91
325,okhotsk,8,RU,1546827044,100,59.36,143.24,-26.42,3.81
326,alpena,1,US,1546826100,66,45.06,-83.43,-4.1,3.1
327,lolua,,,,,,,,
328,abeche,24,TD,1546827045,24,13.83,20.83,19.03,6.91
329,inhambane,48,MZ,1546827046,100,-23.87,35.38,23.48,5.71
330,el angel,44,EC,1546827046,100,0.62,-77.93,10.78,0.51
331,biak,12,ID,1546827046,78,-0.91,122.88,30.01,0.76
332,mvomero,80,TZ,1546827047,89,-6.3,37.45,22.23,0.36
333,meyungs,,,,,,,,
334,manaure,0,CO,1546827047,90,11.78,-72.45,25.03,9.21
335,alice springs,0,AU,1546824600,11,-23.7,133.88,32,5.7
336,arraial do cabo,64,BR,1546826915,83,-22.97,-42.02,25.63,8.71
337,baruun-urt,0,MN,1546827048,52,46.68,113.28,-18.67,4.46
338,saint george,40,GR,1546822200,85,39.45,22.34,-4,2.1
339,tocopilla,0,CL,1546827049,99,-22.09,-70.2,16.63,1.51
340,labuhan,8,ID,1546827050,58,-2.54,115.51,32.03,1.51
341,san felipe,64,CL,1546827050,93,-32.75,-70.73,13.61,0.71
342,bathsheba,40,BB,1546822800,78,13.22,-59.52,26,7.2
343,palmer,0,AU,1546824600,49,-34.85,139.16,23,5.1
344,dukat,68,RS,1546827051,79,42.44,22.31,-8.75,2.06
345,maragogi,80,BR,1546826626,96,-9.01,-35.22,24.23,1.86
346,polyarnyy,0,RU,1546824600,74,69.2,33.45,1,3
347,tautira,75,PF,1546826400,83,-17.73,-149.15,27,6.7
348,ixtapa,20,MX,1546825380,88,20.71,-105.21,23,0.71
349,paamiut,88,GL,1546827053,100,61.99,-49.67,-0.07,4.11
350,ahipara,0,NZ,1546827053,62,-35.17,173.16,24.78,4.91
351,nicoya,0,CR,1546826400,65,10.15,-85.45,27,7.7
352,yaring,75,TH,1546822800,78,6.87,101.37,28,3.1
353,kichera,32,RU,1546827054,68,55.93,110.1,-27.07,0.71
354,oinoi,40,GR,1546824000,52,38.32,23.61,5,4.1
355,morro bay,90,US,1546825980,96,35.37,-120.85,14.4,8.7
356,sorland,92,NO,1546827056,100,67.67,12.69,5.11,16.81
357,buin,75,CL,1546822800,56,-33.73,-70.74,20,5.7
358,mulege,88,MX,1546827057,100,26.88,-111.98,13.61,2.31
359,emerald,40,AU,1546822800,38,-23.53,148.16,32,4.6
360,sabang,100,PH,1546827058,100,13.72,123.58,24.13,5.36
361,bani walid,0,LY,1546827058,71,31.76,14,4.93,5.51
362,centralia,1,US,1546826100,81,39.21,-92.14,14.4,4.6
363,la ronge,90,CA,1546822800,85,55.1,-105.3,-10,2.6
364,soto la marina,0,MX,1546827059,65,23.77,-98.21,20.58,4.71
365,mutsamudu,,,,,,,,
366,binghamton,90,US,1546826100,71,42.1,-75.91,-3.9,8.2
367,camacari,20,BR,1546822800,74,-12.7,-38.32,28,4.6
368,togur,88,RU,1546827061,80,58.36,82.83,-10.1,5.71
369,gorodishche,56,RU,1546827061,87,53.27,45.7,-11.25,1.41
370,colares,0,PT,1546824600,61,38.8,-9.45,9,3.1
371,sapa,20,PH,1546826400,54,14.32,120.76,29,5.1
372,gladstone,75,AU,1546824600,83,-23.84,151.26,25,6.7
373,sola,20,NO,1546825800,93,58.89,5.65,3,3.1
374,bisira,36,PA,1546827064,91,8.52,-81.71,21.51,1.06
375,boundiali,68,CI,1546827064,40,9.53,-6.48,18.08,3.26
376,kununurra,0,AU,1546824600,48,-15.77,128.74,31,0.5
377,bambous virieux,75,MU,1546822800,88,-20.34,57.76,27,6.7
378,barinas,0,VE,1546827065,70,8.64,-70.23,23.51,2.91
379,one hundred mile house,,,,,,,,
380,katobu,8,ID,1546827066,78,-4.94,122.53,31.13,1.31
381,kangaatsiaq,56,GL,1546827066,98,68.31,-53.46,-4.67,9.26
