,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
382,esperance,20,TT,1546822800,83,10.24,-61.45,25,2.6
383,natal,0,BR,1546822800,83,-5.81,-35.21,26,2.6
384,daitari,0,IN,1546827067,77,21.11,85.83,18.18,2.01
385,aklavik,90,CA,1546822800,76,68.22,-135.01,-22,1.5
386,peleduy,56,RU,1546827070,60,59.63,112.75,-19.37,3.86
387,sabha,0,LY,1546827071,67,27.03,14.43,-3.52,1.41
388,kudahuvadhoo,76,MV,1546827071,100,2.67,72.89,27.36,5.16
389,rincon,1,US,1546826160,83,32.3,-81.24,11,1.5
390,ilulissat,48,GL,1546825800,61,69.22,-51.1,-8,14.4
391,penalva,80,BR,1546827072,94,-3.29,-45.17,24.63,1.51
392,campoverde,0,IT,1546825800,74,41.54,12.73,3,1.5
393,kysyl-syr,64,RU,1546827073,73,63.9,122.77,-23.97,1.51
394,zhigalovo,24,RU,1546827073,25,54.81,105.15,-28.12,1.01
395,meulaboh,12,ID,1546827074,100,4.14,96.13,27.38,0.81
396,pevek,0,RU,1546827074,100,69.7,170.27,-33.87,1.96
397,yerbogachen,20,RU,1546827074,63,61.28,108.01,-19.87,4.31
398,afanasyevo,,,,,,,,
399,tsihombe,,,,,,,,
400,cap malheureux,75,MU,1546822800,88,-19.98,57.61,27,6.7
401,hamilton,40,BM,1546822500,68,32.3,-64.78,20,7.2
402,sambava,92,MG,1546827077,100,-14.27,50.17,26.18,2.66
403,matamoros,1,US,1546825980,93,25.87,-97.51,20.7,5.1
404,kathmandu,75,NP,1546824000,87,27.71,85.32,7,2.6
405,tingi,92,TZ,1546827077,100,-11.3,35.03,20.68,2.71
406,cockburn harbour,,,,,,,,
407,kamenskoye,,,,,,,,
408,isangel,76,VU,1546827078,100,-19.55,169.27,25.33,7.81
409,guanica,40,PR,1546822200,73,17.97,-66.91,23,2.6
410,guna,8,IN,1546827079,85,24.65,77.32,8.58,2.21
411,vanimo,76,PG,1546827079,99,-2.67,141.3,28.63,8.41
412,torbay,90,CA,1546823400,100,47.66,-52.73,1,14.9
413,champerico,40,MX,1546825200,69,16.38,-93.6,24,4.6
414,sinnamary,88,GF,1546827080,100,5.38,-52.96,24.11,2.56
415,kanye,0,BW,1546827080,83,-24.98,25.34,18.93,7.51
416,kutum,20,SD,1546827081,32,14.2,24.66,11.13,4.91
417,riyadh,0,SA,1546822800,41,24.63,46.72,16,2.6
418,dwarka,90,IN,1546824600,100,28.58,77.04,8,2.01
419,belmonte,0,PT,1546827082,50,40.36,-7.35,-2.82,3.26
420,huixtla,40,MX,1546825200,78,15.14,-92.46,25,2.1
421,banda aceh,76,ID,1546827083,93,5.56,95.32,26.38,0.46
422,vuktyl,88,RU,1546827083,74,63.86,57.31,-19.67,2.86
423,salalah,75,OM,1546825800,78,17.01,54.1,22,2.1
424,esso,20,RU,1546827084,54,55.93,158.7,-22.37,0.96
425,yaan,0,NG,1546827084,41,7.38,8.57,20.18,3.31
426,foldeak,0,HU,1546824600,85,46.32,20.5,-4,4.6
427,poum,56,MK,1546827085,78,41.28,20.71,-14.25,0.86
428,kloulklubed,75,PW,1546826100,66,7.04,134.26,29,6.2
429,fuyu,12,CN,1546827085,48,47.79,124.46,-16.47,3.31
430,anekal,75,IN,1546824600,93,12.71,77.7,15,2.6
431,victoria point,75,AU,1546824600,61,-27.58,153.3,30,4.6
432,ondorhaan,,,,,,,,
433,sapao,,,,,,,,
434,korla,,,,,,,,
435,soyo,100,AO,1546827087,98,-6.13,12.37,22.98,1.51
436,samfya,92,ZM,1546827088,100,-11.37,29.56,19.28,2.01
437,camacha,20,PT,1546824600,72,33.08,-16.33,17,5.7
438,port macquarie,75,AU,1546822800,94,-31.43,152.91,23,1.5
439,pak chong,0,TH,1546827088,57,14.71,101.42,28.33,5.46
440,panguna,68,PG,1546827089,81,-6.32,155.48,28.18,2.31
441,boyolangu,24,ID,1546827089,77,-8.09,111.9,29.13,0.56
442,yangambi,88,CD,1546827089,100,0.77,24.47,20.76,1.51
443,voh,0,NC,1546827090,83,-20.95,164.69,27.86,5.66
444,venice,1,US,1546824900,67,27.1,-82.45,16,3.1
445,helena,20,US,1546822380,74,46.59,-112.04,0,3.56
446,vao,88,EE,1546827091,95,59.1,26.19,-4.67,5.26
447,mehamn,88,NO,1546827091,89,71.03,27.85,1.73,7.91
448,marolambo,88,MG,1546827092,93,-20.05,48.13,18.88,0.96
449,kawalu,68,ID,1546827092,85,-7.38,108.21,24.53,1.26
450,oussouye,88,SN,1546827092,80,12.49,-16.54,25.28,2.56
451,puerto escondido,20,MX,1546825260,74,15.86,-97.07,27,3.31
452,lucapa,80,AO,1546827093,96,-8.42,20.74,19.61,3.01
453,negombo,0,LK,1546823400,88,7.21,79.83,21,1
454,charters towers,32,AU,1546827094,65,-20.07,146.27,30.86,2.81
455,jacqueville,32,CI,1546824600,88,5.21,-4.42,27,2.1
456,saint-pierre,90,FR,1546824600,93,48.95,4.24,4,2.6
457,kargala,68,RU,1546827095,75,56.62,83.96,-12.27,5.76
458,pinerolo,0,IT,1546825800,74,44.89,7.33,1,1.5
459,custodia,68,BR,1546827096,78,-8.09,-37.64,21.11,0.21
460,medicine hat,75,CA,1546822800,38,50.04,-110.68,4,12.9
461,marsa matruh,0,EG,1546822800,76,31.35,27.25,9,7.2
462,agara,44,GE,1546827097,84,42.04,43.82,-3.97,0.96
463,pacifica,90,US,1546825980,92,37.61,-122.49,15,10.3
464,maniitsoq,68,GL,1546827098,100,65.42,-52.9,-4.72,9.06
465,vilcun,40,CL,1546822800,82,-38.65,-72.23,14,3.1
466,rawson,0,AR,1546827098,22,-43.3,-65.11,20.36,4.66
467,nemuro,20,JP,1546826400,48,43.32,145.57,-7,4.1
468,balkanabat,24,TM,1546827099,91,39.51,54.36,2.26,1.61
469,skjervoy,92,NO,1546827099,100,70.03,20.97,3.23,11.66
470,kahului,75,US,1546826160,62,20.89,-156.47,26.7,5.7
471,tomatlan,36,MX,1546827100,87,19.93,-105.25,19.01,0.91
472,itarema,88,BR,1546827103,85,-2.92,-39.92,25.53,3.81
473,tucumcari,90,US,1546822380,60,35.17,-103.73,11.7,7.2
474,road town,75,VG,1546822800,78,18.42,-64.62,25,5.1
475,gbarnga,32,LR,1546827104,77,7,-9.47,19.53,1.01
476,vanavara,64,RU,1546827105,60,60.35,102.28,-21.9,4.36
477,arcachon,90,FR,1546824600,74,44.65,-1.18,3,2.41
478,touros,0,BR,1546822800,88,-5.2,-35.46,24,1
479,wagga wagga,8,AU,1546822800,39,-35.12,147.37,28,4.6
480,bulungu,44,CD,1546827106,95,-4.54,18.6,20.28,1.21
481,san cristobal,40,EC,1546822800,100,-0.39,-78.55,12,1
482,livingston,1,US,1546826160,94,32.58,-88.19,10,1.21
483,kalabo,100,ZM,1546827108,94,-15,22.67,20.01,1.61
484,taburi,,,,,,,,
485,tilichiki,80,RU,1546827108,83,60.47,166.1,-2.57,6.71
486,mumbwa,64,ZM,1546827109,93,-14.99,27.06,17.03,1.31
487,isla mujeres,5,MX,1546825440,82,21.23,-86.73,19,1
488,tera,75,CY,1546824600,62,34.97,32.42,13,9.3
489,wamba,24,CD,1546827110,95,2.14,27.99,19.23,1.01
490,ler,90,NO,1546825800,84,63.2,10.3,4,7.2
491,katangli,0,RU,1546827110,99,51.71,143.23,-14.6,8.26
492,marrakesh,0,MA,1546824600,56,31.63,-7.99,6,1.21
493,kinsale,75,IE,1546824600,100,51.71,-8.52,9,4.6
494,azimur,,,,,,,,
495,padang,40,ID,1546822800,94,-0.92,100.36,26,1
496,kibaya,75,RW,1546824600,93,-2.2,30.56,17,0.96
497,taoudenni,0,ML,1546827112,38,22.68,-3.98,7.93,5.36
498,nantucket,20,US,1546826100,58,41.28,-70.1,2.2,9.3
499,buala,92,SB,1546827113,100,-8.15,159.59,25.26,2.21
500,kavaratti,8,IN,1546827113,100,10.57,72.64,27.33,3.01
501,atar,0,MR,1546827113,42,20.52,-13.05,11.76,3.51
502,peruibe,24,BR,1546827114,97,-24.32,-47,27.61,6.01
503,grand-santi,68,GF,1546827115,100,4.27,-54.38,22.03,1.01
504,bowen,75,AU,1546822800,88,-20.01,148.25,25,6.2
505,khorramshahr,90,IR,1546826400,87,30.43,48.18,15,2.1
506,tsivilsk,0,RU,1546824600,84,55.87,47.47,-17,1
507,lucea,20,JM,1546826400,74,18.44,-78.17,26,3.1
508,roma,0,IT,1546824000,74,41.89,12.48,3,0.5
509,leh,44,IN,1546827116,60,34.16,77.58,-27.47,0.51
510,barbar,,,,,,,,
511,labytnangi,0,RU,1546827117,62,66.66,66.39,-22.17,4.01
512,lumeje,92,AO,1546827118,98,-11.56,20.78,19.11,2.96
513,canmore,90,CA,1546822800,55,51.09,-115.35,0,7.7
514,lima,75,PE,1546822800,78,-12.06,-77.04,23,5.1
515,lavumisa,32,ZA,1546827118,96,-27.31,31.88,16.88,1.36
516,golden gate,1,US,1546826160,81,38.36,-88.2,11.7,4.6
517,vrangel,0,RU,1546827119,100,42.73,133.08,-5.12,6.51
518,porbandar,0,IN,1546827120,77,21.64,69.61,16.13,6.36
519,iralaya,68,HN,1546827120,99,15,-83.23,23.73,3.31
520,glyadyanskoye,0,RU,1546827120,69,54.91,65.09,-16.82,2.66
521,vila do maio,0,CV,1546822800,73,15.13,-23.22,21,5.1
522,arlit,24,NE,1546827121,73,18.74,7.39,7.68,2.46
523,zaraza,0,VE,1546827121,64,9.35,-65.33,24.91,4.46
524,asau,,,,,,,,
525,waddan,0,LY,1546827122,72,29.16,16.14,-2.6,2.66
526,kulhudhuffushi,0,MV,1546827122,100,6.62,73.07,26.73,2.46
527,tecoanapa,40,MX,1546825740,78,16.99,-99.26,27,4.1
528,damietta,0,EG,1546822800,66,31.42,31.81,10,8.2
529,ruthin,75,GB,1546825800,87,53.11,-3.31,9,0.5
530,cazaje,,,,,,,,
531,canchungo,0,GW,1546822800,64,12.07,-16.03,23,1.5
532,smidovich,0,RU,1546827125,53,48.6,133.81,-17.52,2.11
533,veshenskaya,92,RU,1546827125,85,49.63,41.73,-8.35,5.16
534,moroni,76,US,1546827125,89,39.52,-111.59,-3.52,1.66
535,wladyslawowo,75,PL,1546826400,92,54.79,18.4,-2,4.1
536,brentwood,40,US,1546826160,66,36.03,-86.78,13,2.1
537,warqla,,,,,,,,
538,kapit,76,MY,1546827127,90,2.02,112.94,25.26,1.26
539,harnai,76,PK,1546827128,79,30.1,67.94,2.76,1.06
540,dombarovskiy,92,RU,1546827128,81,50.76,59.54,-13.47,2.51
541,taywarah,48,AF,1546827128,69,33.35,64.42,-10.02,0.86
542,fukue,20,JP,1546826400,42,35.03,136.69,8,5.1
543,kaya,,,,,,,,
544,edson,90,CA,1546822800,85,53.59,-116.44,-8,4.1
545,elko,90,US,1546826160,61,40.83,-115.76,1.7,4.6
546,ceuta,76,MX,1546827130,61,23.9,-106.93,21.51,1.81
547,micheweni,8,TZ,1546827130,100,-4.97,39.83,27.98,6.96
548,gayny,12,RU,1546827131,63,60.3,54.33,-15.9,3.66
549,antalaha,68,MG,1546827131,98,-14.9,50.28,25.48,3.26
550,puerto carreno,75,CO,1546822800,62,6.19,-67.49,29,1.46
551,kamensk-uralskiy,0,RU,1546827132,77,56.42,61.93,-15.12,4.01
552,rahuri,0,IN,1546827132,80,19.39,74.65,11.68,1.61
553,pontianak,75,ID,1546824600,94,-0.02,109.34,25,2.6
554,ukiah,90,US,1546822560,89,39.15,-123.21,7.8,4.1
555,semey,0,KZ,1546824600,71,50.41,80.25,-13,6
556,suntar,48,RU,1546827133,56,62.16,117.65,-18.32,3.11
557,clyde river,90,CA,1546825020,83,70.47,-68.59,-23,12.3
558,fasa,0,IR,1546826400,74,28.94,53.65,2,0.96
559,tetouan,20,MA,1546824600,93,35.57,-5.37,12,1.5
560,willmar,75,US,1546826100,81,45.12,-95.04,2.5,8.7
561,pleshanovo,76,RU,1546822800,85,57.46,28.17,-7,4
562,coihaique,90,CL,1546826400,75,-45.58,-72.07,8,3.6
563,dessau,75,DE,1546826520,100,51.83,12.24,4,2.6
564,barcelos,0,PT,1546824600,48,41.53,-8.62,7,3.6
565,bujumbura,88,BI,1546826881,100,-3.36,29.37,15.63,1.16
566,aripuana,56,BR,1546827137,98,-9.17,-60.63,23.08,1.01
567,portland,75,US,1546825980,76,45.52,-122.67,6.7,5.1
568,goderich,48,CA,1546826846,90,43.74,-81.71,-7.1,4.66
569,kaduqli,0,SD,1546827138,34,11.01,29.72,19.98,6.71
570,svetlaya,0,RU,1546827139,100,46.54,138.33,-9.6,2.86
571,koslan,92,RU,1546827139,85,63.46,48.9,-11.15,3.96
572,gazimurskiy zavod,12,RU,1546827139,76,51.55,118.33,-28.37,1.36
573,fortuna,0,ES,1546824600,64,38.18,-1.13,4,1
574,deputatskiy,0,RU,1546827140,0,69.3,139.9,-45.72,1.31
575,okha,0,RU,1546827140,85,53.59,142.95,-14.9,8.66
576,huarmey,48,PE,1546827141,95,-10.07,-78.15,16.66,0.96
577,umzimvubu,,,,,,,,
578,monroe,1,US,1546826160,70,41.91,-83.4,2.2,2.1
579,hambantota,40,LK,1546823400,100,6.12,81.12,20,1
580,rio gallegos,40,AR,1546822800,27,-51.62,-69.22,10,6.7
581,chapeco,0,BR,1546827142,88,-27.1,-52.62,22.08,2.81
582,merauke,76,ID,1546827142,98,-8.49,140.4,27.63,5.91
583,zhanaozen,88,KZ,1546827143,95,43.35,52.85,1.33,1.96
584,carauari,36,BR,1546827143,96,-4.88,-66.9,23.26,1.16
585,brae,92,GB,1546825800,86,60.4,-1.35,7,5.1
586,shelopugino,20,RU,1546827144,72,51.65,117.56,-27.82,1.31
587,yuncheng,44,CN,1546827144,72,35.03,111,-0.67,1.66
588,sao filipe,0,CV,1546827144,99,14.9,-24.5,22.61,4.61
589,sheregesh,0,RU,1546827145,51,52.93,87.98,-23.72,1.01
590,beira,0,ES,1546824600,86,43.2,-8.36,4,1.5
591,popondetta,64,PG,1546827145,74,-8.77,148.24,25.91,0.76
592,sergiyevsk,56,RU,1546827146,79,53.94,51.16,-12.87,2.26
593,vestbygda,,,,,,,,
594,semiletka,68,RU,1546827146,79,55.36,54.62,-12.92,2.41
595,pierre,90,US,1546825980,95,44.37,-100.35,0.6,3.01
596,kenora,90,CA,1546824900,85,49.76,-94.48,-6,4.1
597,yanam,0,IN,1546824600,93,16.73,82.22,17,3.91
598,juneau,20,US,1546826160,56,58.3,-134.42,-6.7,2.1
599,yashkul,80,RU,1546827151,80,46.17,45.34,-4.75,7.61
600,dolores,92,UY,1546827151,100,-33.53,-58.22,20.86,3.76
601,hay river,90,CA,1546822800,84,60.82,-115.79,-17,4.6
602,matay,0,EG,1546827152,90,28.42,30.79,0.23,1.96
603,guerrero negro,56,MX,1546827152,98,27.97,-114.04,12.51,3.61
604,luang prabang,90,LA,1546822800,94,19.89,102.14,21,1.06
605,onega,92,RU,1546827153,92,63.91,38.09,-3.87,7.56
606,akdepe,64,TM,1546824600,85,42.05,59.39,2,2.1
607,bethlehem,1,US,1546826100,51,40.62,-75.38,3.3,5.7
608,roebourne,0,AU,1546827154,8,-20.77,117.15,41.03,6.11
609,inderborskiy,,,,,,,,
610,katsuura,40,JP,1546826400,80,33.93,134.5,8,2.6
611,chimbote,44,PE,1546827158,98,-9.08,-78.59,20.23,1.06
612,namibe,8,AO,1546827158,100,-15.19,12.15,22.36,1.76
613,longyearbyen,75,NO,1546825800,67,78.22,15.63,-7,18
614,ulaangom,0,MN,1546827159,0,49.98,92.07,-33.75,0.96
615,talnakh,48,RU,1546827009,66,69.49,88.39,-18.37,9.51
616,north platte,1,US,1546822380,92,41.12,-100.77,0,2.1
617,verkhoyansk,32,RU,1546827160,0,67.55,133.39,-41.9,1.16
618,sakakah,,,,,,,,
619,urumqi,,,,,,,,
620,port blair,32,IN,1546827161,100,11.67,92.75,27.11,8.26
621,hirara,75,JP,1546826400,73,24.8,125.28,22,6.2
622,were ilu,8,ET,1546827165,69,10.6,39.43,-3.32,0.41
623,aksu,75,KZ,1546824600,84,52.04,76.93,-19,3
624,mazamari,32,PE,1546827166,96,-11.33,-74.53,18.91,1.21
625,saleaula,,,,,,,,
626,almeirim,0,PT,1546824600,61,39.21,-8.63,9,3.1
627,vangaindrano,80,MG,1546827167,100,-23.35,47.6,20.61,1.51
628,xining,48,CN,1546827167,66,36.62,101.77,-13.37,0.66
629,saint anthony,1,US,1546826160,68,43.97,-111.68,-1.1,6.2
630,muros,0,ES,1546824600,100,42.77,-9.06,6,1
631,lewisburg,1,US,1546826160,51,40.96,-76.88,2.8,2.6
632,asyut,0,EG,1546822800,65,27.18,31.19,5,2.1
633,mana,90,RS,1546824600,92,43.52,20.24,-4,1.5
634,balkhash,0,KZ,1546827170,58,46.84,74.98,-16.82,4.81
635,katsiveli,,,,,,,,
636,the valley,20,AI,1546822800,78,18.22,-63.06,26,6.7
637,teguise,36,ES,1546824600,77,29.06,-13.56,15,4.6
638,mabaruma,88,GY,1546827171,85,8.2,-59.78,25.36,3.21
639,mamallapuram,20,IN,1546824600,88,12.63,80.17,22,5.31
640,srednekolymsk,20,RU,1546827171,51,67.46,153.71,-34.87,1.16
641,broken hill,0,AU,1546822800,18,-31.97,141.45,28,6.2
642,fillan,75,NO,1546825800,93,63.6,8.98,3,7.2
643,birao,0,CF,1546827172,36,10.3,22.78,21.26,6.01
644,tagusao,8,PH,1546827173,78,9.19,117.81,28.41,4.51
645,tabiauea,,,,,,,,
646,santiago,75,CL,1546822800,56,-33.44,-70.65,20,5.7
647,show low,40,US,1546824900,87,34.25,-110.03,2.2,6.2
648,lecce,0,IT,1546825800,39,40.36,18.17,8,10.3
649,ugoofaaru,8,MV,1546827174,100,5.67,73,27.18,4.76
650,cururupu,68,BR,1546827174,92,-1.82,-44.87,25.11,1.86
651,fort nelson,90,CA,1546822800,77,58.81,-122.69,-18,5.1
652,bairiki,,,,,,,,
653,sumbawa,,,,,,,,
654,synya,80,RU,1546827176,68,65.37,58.04,-18.67,4.16
655,tabas,68,IR,1546822800,31,33.6,56.92,8,1
656,nanortalik,80,GL,1546827177,94,60.14,-45.24,-0.97,4.36
657,benghazi,8,LY,1546827076,100,32.12,20.07,15.91,7.96
658,knysna,0,ZA,1546826400,88,-34.04,23.05,17,1
659,rosario,92,UY,1546827178,99,-34.31,-57.35,21.48,2.21
660,bantou,92,CN,1546827178,98,26.22,117.49,11.78,1.16
661,booue,24,GA,1546827178,100,-0.09,11.94,21.63,0.96
662,santa isabel do rio negro,36,BR,1546827179,97,-0.41,-65.02,24.03,1.31
663,sungairaya,20,ID,1546827179,92,0.7,108.9,28.28,1.06
664,sangar,48,RU,1546827179,40,63.92,127.47,-32.62,1.61
665,tigil,68,RU,1546827180,72,57.8,158.67,-21.6,1.21
666,kariba,92,ZW,1546827180,89,-16.53,28.78,23.43,1.51
667,yulara,0,AU,1546822800,13,-25.24,130.99,32,5.7
668,la rioja,56,AR,1546827181,96,-29.41,-66.86,19.51,2.01
669,tuggurt,,,,,,,,
670,la libertad,12,PE,1546827182,82,-16.38,-71.56,-1.62,0.61
671,mitsamiouli,12,KM,1546827182,97,-11.38,43.28,28.13,3.91
672,sur,0,OM,1546827182,100,22.57,59.53,20.76,3.66
673,beringovskiy,80,RU,1546827183,87,63.05,179.32,-5.35,13.31
674,businga,68,CD,1546827183,96,3.34,20.89,21.23,1.41
675,itanagar,0,IN,1546827183,63,27.1,93.63,14.38,1.01
676,ponta delgada,20,PT,1546824600,88,37.73,-25.67,17,8.2
677,amuntai,0,ID,1546827184,69,-2.42,115.25,31.41,1.31
678,libreville,20,GA,1546822800,94,0.39,9.45,24,2.1
679,honiara,76,SB,1546827185,81,-9.43,159.96,28.38,2.01
680,impfondo,64,CD,1546827185,95,1.62,18.06,22.38,1.41
681,fairbanks,0,US,1546826280,69,64.84,-147.72,-37.1,1.26
682,bengkulu,,,,,,,,
683,nyurba,44,RU,1546827186,51,63.29,118.35,-19.9,2.81
684,comodoro rivadavia,0,AR,1546822800,23,-45.87,-67.48,17,8.7
685,pithoro,0,PK,1546827187,89,25.52,69.38,8.01,1.31
686,samoded,92,RU,1546827187,85,63.61,40.52,-5.15,5.11
687,jumla,48,NP,1546827187,91,29.28,82.18,-7.62,0.81
688,prado,92,BR,1546827188,99,-17.34,-39.22,25.86,6.06
689,piracanjuba,0,BR,1546827188,94,-17.3,-49.02,19.48,2.31
690,bac lieu,,,,,,,,
691,floriano,80,BR,1546827003,83,-6.77,-43.02,24.93,0.96
692,coahuayana,8,MX,1546827189,74,18.62,-100.35,17.63,1.21
693,fuling,76,CN,1546827189,100,29.71,107.39,4.26,1.66
694,lethem,8,GY,1546827189,63,3.38,-59.8,27.41,7.11
695,sao jose da coroa grande,80,BR,1546827190,96,-8.9,-35.15,24.23,1.86
696,biu,20,NG,1546827190,27,10.61,12.19,17.11,5.16
697,mayumba,92,GA,1546827190,100,-3.44,10.65,24.68,0.61
698,new deer,40,GB,1546825800,100,57.51,-2.19,6,1.5
699,jiwani,0,PK,1546827191,100,25.05,61.74,12.18,2.21
700,marawi,0,PH,1546827191,50,8,124.29,28.66,1.41
701,khash,64,IR,1546827192,85,28.22,61.21,3.73,1.41
702,saint-augustin,90,FR,1546824600,96,44.83,-0.61,3,2.06
703,arkhara,20,RU,1546827193,64,49.42,130.09,-19.72,1.61
704,aurangabad,0,IN,1546822800,62,19.87,75.33,13,5.01
705,rocha,92,UY,1546827186,96,-34.48,-54.34,21.23,2.61
706,belyy yar,20,RU,1546824600,76,53.6,91.39,-20,2
707,maldonado,75,UY,1546826400,88,-34.91,-54.96,23,5.1
708,porto santo,,,,,,,,
709,guangyuan,0,CN,1546827195,50,32.43,105.86,4.91,2.86
710,ovruch,80,UA,1546827195,89,51.33,28.8,-4.97,3.91
711,taft,48,PH,1546827196,88,11.9,125.42,27.16,6.81
712,andselv,,,,,,,,
713,lengshuijiang,92,CN,1546827197,99,27.66,111.45,2.13,1.51
714,mergui,,,,,,,,
715,quesnel,90,CA,1546822800,76,52.98,-122.49,2,2.1
716,shiraz,0,IR,1546824600,60,29.61,52.54,6,2.56
717,pemberton,0,AU,1546827198,48,-34.44,116.03,26.33,7.16
718,richards bay,64,ZA,1546826990,86,-28.77,32.06,20.61,1.81
719,sawakin,56,SD,1546827198,93,19.1,37.33,21.91,5.66
720,dandong,0,CN,1546827199,34,40.12,124.37,-4.5,1.61
721,sompeta,0,IN,1546827199,70,18.93,84.6,20.28,2.06
722,caravelas,88,BR,1546827199,100,-17.73,-39.27,26.91,6.76
723,limon,1,US,1546822500,41,39.26,-103.69,7.2,4.6
724,aitape,76,PG,1546827200,87,-3.15,142.36,28.51,5.56
725,fowa,0,NG,1546827200,33,8.92,6.4,20.98,5.16
726,ilo,80,PE,1546827201,100,-17.65,-71.34,16.91,0.91
727,rapid city,20,US,1546826160,100,44.08,-103.23,5,1.5
728,batsfjord,88,NO,1546827201,100,70.63,29.72,3.93,11.71
729,khilok,0,RU,1546827202,60,51.36,110.46,-20.12,2.91
730,yeletskiy,,,,,,,,
731,kadoma,48,ZW,1546827202,97,-18.34,29.91,17.61,1.41
732,point pedro,88,LK,1546827203,96,9.82,80.23,25.91,5.71
733,halalo,,,,,,,,
734,maceio,75,BR,1546822800,94,-9.67,-35.74,23,3.6
735,ketchikan,1,US,1546826160,50,55.34,-131.65,-0.6,5.1
736,jiuquan,64,CN,1546827204,64,39.73,98.49,-13.37,0.76
737,acapulco,40,MX,1546825740,78,16.86,-99.88,27,4.1
738,ahuimanu,75,US,1546826220,59,21.44,-157.84,27.8,2.6
739,oyek,24,RU,1546827205,26,52.59,104.46,-28.17,1.76
740,villarrobledo,0,ES,1546827205,64,39.27,-2.6,-5.65,1.26
741,cabedelo,20,BR,1546826400,88,-6.97,-34.84,25,2.6
742,neryungri,20,RU,1546827206,61,56.66,124.71,-23.02,4.66
743,tupancireta,48,BR,1546827206,82,-29.08,-53.84,24.93,5.01
744,college,0,US,1546826280,69,64.86,-147.8,-37.1,1.26
745,mombetsu,20,JP,1546826400,48,44.35,143.35,-7,6.2
746,christiansburg,1,US,1546826100,62,37.13,-80.41,9,0.96
747,khovu-aksy,0,RU,1546827207,0,51.13,93.72,-35.02,1.06
748,oktyabrskiy,75,RU,1546824600,85,55.61,37.97,-10,1
749,lagunas,0,PE,1546827208,85,-5.23,-75.68,26.03,1.11
750,alappuzha,,,,,,,,
751,campbell river,75,CA,1546822800,100,50.02,-125.24,5,0.86
752,khani,90,GE,1546826400,87,41.96,42.96,10,9.3
753,lanivtsi,80,UA,1546827209,95,49.87,26.08,-5.1,3.51
754,djenne,32,ML,1546827209,62,13.91,-4.55,13.61,3.86
755,bintulu,75,MY,1546822800,83,3.17,113.03,29,2.6
756,santa cruz cabralia,40,BR,1546826400,83,-16.28,-39.02,26,2.1
757,el badari,,,,,,,,
758,san rafael,44,AR,1546827064,35,-34.61,-68.33,19.36,3.31
759,zonguldak,76,TR,1546827211,100,41.25,31.83,0.26,3.61
760,yulin,76,CN,1546827212,33,38.3,109.75,-6,4.86
761,suzdal,24,RU,1546827212,82,56.42,40.45,-12.22,2.66
762,healdsburg,90,US,1546826100,100,38.61,-122.87,14,6.7
763,ilhabela,8,BR,1546827213,96,-23.78,-45.36,27.23,5.01
